Cat,Res,Region,Dataset,mean,sem,median,ci68_hi,ci68_lo
Reanalysis,0.1,Amazon,pr_era,-0.13068658411581952,0.20763962454460277,-0.01383359629601439,0.07695304042878326,-0.3383262086604223
Reanalysis,0.1,Congo,pr_era,0.4855681177313105,0.17728240584364174,0.02117560803221556,0.6628505235749522,0.30828571188766873
Reanalysis,0.1,SEA,pr_era,-0.013931242398426816,0.4185692791846529,0.02281671290635938,0.4046380367862261,-0.4325005215830797
Reanalysis,0.1,Tropics,pr_era,-0.04274635386430518,0.17211759513796915,0.00593213745675472,0.12937124127366398,-0.21486394900227432
Reanalysis,0.25,Amazon,pr_era,0.40640763323748497,0.766930387749812,-0.000654093941107981,1.173338020987297,-0.36052275451232707
Reanalysis,0.25,Congo,pr_era,-1.5614306427766875,1.2643300354590468,0.016232867505364457,-0.29710060731764076,-2.825760678235734
Reanalysis,0.25,SEA,pr_era,-1.3665221892966444,1.6527654671176184,-0.03599476620453386,0.28624327782097403,-3.0192876564142628
Reanalysis,0.25,Tropics,pr_era,-0.3304127829953578,0.6890177224307965,-0.0006427137531361113,0.3586049394354387,-1.0194305054261543
Reanalysis,0.5,Amazon,pr_era,-0.016280419738348866,2.450460654283443,0.020092280849725256,2.434180234545094,-2.466741074021792
Reanalysis,0.5,Congo,pr_era,-2.9814463423491935,2.4340086565602523,-0.06520556322336754,-0.5474376857889411,-5.415454998909446
Reanalysis,0.5,SEA,pr_era,-2.4344763300906593,4.853352569790326,0.112576210263042,2.418876239699667,-7.287828899880985
Reanalysis,0.5,Tropics,pr_era,-1.9131623599732406,2.134639087208829,0.017974010896079456,0.22147672723558842,-4.04780144718207
Reanalysis,1.0,Amazon,pr_era,5.627739091119894,5.9270686701070066,0.21073762599024448,11.5548077612269,-0.29932957898711265
Reanalysis,1.0,Amazon,pr_jra,-2.4495568000333434,5.194055671039071,-0.16682414490907477,2.7444988710057276,-7.643612471072414
Reanalysis,1.0,Amazon,pr_merra,-9.816527605241609,14.044932322888195,-1.9325415464423645,4.228404717646587,-23.861459928129804
Reanalysis,1.0,Amazon,pr_noaa,4.154502066663421,2.7290229638048853,0.16298988480241489,6.883525030468307,1.425479102858536
Reanalysis,1.0,Congo,pr_era,-8.927279902487316,7.325574715278474,-0.15253750393481139,-1.6017051872088413,-16.25285461776579
Reanalysis,1.0,Congo,pr_jra,4.645999306186658,3.4484147726172587,0.4660867120283332,8.094414078803917,1.1975845335693993
Reanalysis,1.0,Congo,pr_merra,-15.311146003379248,22.624510394966837,-1.6610972371789692,7.313364391587589,-37.93565639834608
Reanalysis,1.0,Congo,pr_noaa,7.001769900201723,7.438045811718864,0.06204419583004651,14.439815711920588,-0.43627591151714107
Reanalysis,1.0,SEA,pr_era,-4.445823940762671,10.572206294102875,-0.18849304800732897,6.126382353340204,-15.018030234865545
Reanalysis,1.0,SEA,pr_jra,9.621677174729783,9.19524286519047,0.2595461468413932,18.816920039920255,0.42643430953931194
Reanalysis,1.0,SEA,pr_merra,31.628672120144486,26.170989104816012,0.6394129128709951,57.7996612249605,5.457683015328474
Reanalysis,1.0,SEA,pr_noaa,-3.8245369934847275,3.9320686348460527,-0.23984477670958843,0.1075316413613252,-7.75660562833078
Reanalysis,1.0,Tropics,pr_era,1.2256742719998794,4.844949262881566,0.12505477613669094,6.070623534881445,-3.619274990881687
Reanalysis,1.0,Tropics,pr_jra,1.7989407972347289,3.478787661367795,0.06954078598628868,5.277728458602524,-1.679846864133066
Reanalysis,1.0,Tropics,pr_merra,-5.151418889868718,10.918752031771533,-1.0803172800216219,5.767333141902815,-16.07017092164025
Reanalysis,1.0,Tropics,pr_noaa,2.13753397222005,2.039753011997738,0.0002643858707870097,4.177286984217789,0.09778096022231209
Reanalysis,2.0,Amazon,pr_era,36.66409932225861,18.182213398551063,1.683011461140064,54.84631272080967,18.481885923707544
Reanalysis,2.0,Amazon,pr_jra,6.348465161298965,13.814115912545427,0.1998628545376736,20.162581073844393,-7.465650751246462
Reanalysis,2.0,Amazon,pr_merra,-11.847230741425784,27.02502019672596,-3.2528829026467427,15.177789455300177,-38.872250938151744
Reanalysis,2.0,Amazon,pr_noaa,28.992101396490206,11.758150082291742,0.878476237955324,40.75025147878195,17.233951314198464
Reanalysis,2.0,Congo,pr_era,1.6902482617274792,6.776822152250514,0.2854212656245963,8.467070413977993,-5.086573890523034
Reanalysis,2.0,Congo,pr_jra,-6.58725446353631,5.774374749784507,-0.286060458868393,-0.8128797137518031,-12.361629213320818
Reanalysis,2.0,Congo,pr_merra,96.88291110284062,90.57082543446194,-1.5574510213916681,187.45373653730258,6.3120856683786855
Reanalysis,2.0,Congo,pr_noaa,22.749114174011236,15.723328009616214,0.03017240531380117,38.47244218362745,7.025786164395022
Reanalysis,2.0,SEA,pr_era,-3.2314723700198833,9.379426185037568,-0.0530468262852421,6.147953815017685,-12.610898555057451
Reanalysis,2.0,SEA,pr_jra,6.247117375696982,14.842281729915534,-0.5219940026394437,21.089399105612515,-8.595164354218552
Reanalysis,2.0,SEA,pr_merra,40.64768367129947,32.160470505140836,1.7194467038721803,72.8081541764403,8.487213166158632
Reanalysis,2.0,SEA,pr_noaa,-4.661122150683643,2.6246783879553233,-0.5879648670083956,-2.03644376272832,-7.285800538638966
Reanalysis,2.0,Tropics,pr_era,17.07644226961366,9.293788738304293,0.3313575886362335,26.370231007917955,7.782653531309368
Reanalysis,2.0,Tropics,pr_jra,-0.3885700618749296,7.5368100258631054,-0.286060458868393,7.148239963988176,-7.925380087738035
