lat,lon,Region,historic_forest_change,proj_forest_change
-6.0,-50.0,Tropics,-1.2969250002654036,-0.34498958089867326
-6.0,22.0,Tropics,-26.21950000294239,-94.24997163758336
-6.0,140.0,Tropics,-0.049950000338128575,-28.620034923243367
-6.0,142.0,Tropics,-0.09432500090750295,-1.1900018954179428
-6.0,144.0,Tropics,-0.419974999434956,-3.985004357218528
-6.0,146.0,Tropics,-3.1394999981491907,-1.120008940956751
-6.0,150.0,Tropics,-0.29702500006924026,-10.655001347766078
-4.0,-78.0,Tropics,-0.13159999992674898,-1.5500246780318028
-4.0,-76.0,Tropics,-8.256506589532364e-12,-32.92496328586793
-4.0,-74.0,Tropics,-0.012499999992101607,-0.4449910308032758
-4.0,-72.0,Tropics,-0.5671999997835542,
-4.0,-70.0,Tropics,-0.2071250022298159,-49.06459375012737
-4.0,-68.0,Tropics,-0.9017999996747221,-16.99474090331936
-4.0,-66.0,Tropics,-6.622258297284134e-12,
-4.0,-64.0,Tropics,-0.004999999999540705,
-4.0,-62.0,Tropics,-0.0825250001672373,-97.11999392038918
-4.0,-60.0,Tropics,-16.041574991679298,-0.29000341143008307
-4.0,-58.0,Tropics,-0.005000000185575004,-0.6399981086419131
-4.0,-56.0,Tropics,-3.148550007812105,-3.8149638017169893
-4.0,-54.0,Tropics,-40.29795000161888,-1.2950123841928434
-4.0,-52.0,Tropics,-0.10672500007065366,-0.12000266129315827
-4.0,-50.0,Tropics,-4.987625001027425,-0.029999494575403275
-4.0,-48.0,Tropics,-47.44569998532325,-0.020000284601252
-4.0,12.0,Tropics,-0.22965000027282656,-98.28501002708403
-4.0,20.0,Tropics,-0.019975000059162085,-99.99999999095397
-4.0,22.0,Tropics,-21.1498999796288,-93.70502413855417
-4.0,24.0,Tropics,-39.04837499129123,-90.93998079701602
-4.0,104.0,Tropics,-51.1443499881397,-0.07999977197851538
-4.0,122.0,Tropics,-11.789925013822113,-13.155106390287736
-4.0,138.0,Tropics,-2.2567499968758398,-2.5249603437791595
-4.0,140.0,Tropics,-0.910025002787151,-2.985002008719473
-4.0,142.0,Tropics,-0.3342750006891606,-19.950003405975142
-4.0,144.0,Tropics,-3.9029749960818094,-12.369937785057367
-2.0,-78.0,Tropics,-7.61947500061531,-33.09492889972094
-2.0,-76.0,Tropics,-0.02249999998575447,
-2.0,-74.0,Tropics,-0.050000000015401724,
-2.0,-72.0,Tropics,-0.0049999999977501375,-49.99950028747407
-2.0,-70.0,Tropics,-0.02232500005050042,
-2.0,-68.0,Tropics,-0.005000000003306582,-6.270057314391335
-2.0,-66.0,Tropics,-0.36204999978180297,-39.324605840400736
-2.0,-64.0,Tropics,-0.005000000017432171,
-2.0,-62.0,Tropics,-2.690974998523643,
-2.0,-60.0,Tropics,-21.27367498631412,-1.33000293048238
-2.0,-58.0,Tropics,-0.004999999998858584,-0.5850009418611966
-2.0,-52.0,Tropics,-8.780474998669291,-0.9100022541740512
-2.0,-50.0,Tropics,-30.899874979780677,-13.990000187553072
-2.0,10.0,Tropics,-1.7157249988821661,-97.9599836958812
-2.0,12.0,Tropics,-5.184249995188253,-78.44521008335056
-2.0,14.0,Tropics,-0.18887500000786872,-3.330033381770844
-2.0,18.0,Tropics,-2.831749999624307,
-2.0,20.0,Tropics,-0.04250000438905488,
-2.0,22.0,Tropics,-0.007500000004455387,
-2.0,24.0,Tropics,-0.06494999996449735,
-2.0,26.0,Tropics,-0.014974999991423488,-98.65000192557365
-2.0,28.0,Tropics,-1.5432988220709376e-11,-86.93000750805074
-2.0,102.0,Tropics,-23.74782499249038,-47.83997683851081
-2.0,104.0,Tropics,-47.035500055804334,-11.784883033949026
-2.0,106.0,Tropics,-33.53824999386973,-1.8449831224250965
-2.0,112.0,Tropics,-51.054674963323215,-4.935034549410677
-2.0,114.0,Tropics,-0.45095008682558557,-16.425006236122336
-2.0,116.0,Tropics,-55.04424996968011,-21.035084092018607
-2.0,120.0,Tropics,-0.08364999999835732,-26.64006969095834
-2.0,134.0,Tropics,-0.6798000058284828,-5.609977392808837
-2.0,138.0,Tropics,-0.03662500012526948,-19.445038845661117
0.0,-76.0,Tropics,-0.002500000039248107,
0.0,-74.0,Tropics,-2.6005864128819667e-12,
0.0,-72.0,Tropics,-0.007500000002579554,
0.0,-70.0,Tropics,-4.6057380131969694e-10,
0.0,-68.0,Tropics,-3.304023721284466e-11,-0.6650009155928168
0.0,-66.0,Tropics,-1.5205614545266144e-12,
0.0,-64.0,Tropics,-0.004725000134001789,
0.0,-62.0,Tropics,-0.022500000544496856,-1.2600002285679022
0.0,-60.0,Tropics,-0.017425000117341938,
0.0,-58.0,Tropics,-0.01244999999745744,
0.0,-56.0,Tropics,-0.023800000009714495,-0.38999938941553264
0.0,-54.0,Tropics,-9.00968188943807e-12,-0.06999969479412715
0.0,-52.0,Tropics,-1.0522999993629725,-0.22999954234670578
0.0,10.0,Tropics,-0.25557499992002874,-1.9441310671016322e-10
0.0,12.0,Tropics,-0.5227750001108262,-66.56499862461568
0.0,14.0,Tropics,-1.630999999096403,-96.25000000211918
0.0,16.0,Tropics,-1.0946500002168733,-98.75000000055654
0.0,18.0,Tropics,-0.13324999995585074,-70.01500128360482
0.0,20.0,Tropics,-1.9165749983380636,-76.6649999653117
0.0,22.0,Tropics,-3.3731249964769034,-24.975000355863113
0.0,24.0,Tropics,-23.561625011593236,
0.0,26.0,Tropics,-0.05992500004873591,
0.0,28.0,Tropics,-0.019925000018616856,-4.469999328976735
0.0,100.0,Tropics,-10.78802499495223,-27.84000001796139
0.0,110.0,Tropics,-35.66787502298508,-24.115000733730934
